fish,date,depth_mean_day,depth_mean_night,Temperature_1m
Cod_9031,28/10/2013,17.68018349,3.685446429,10.980375
Cod_9031,29/10/2013,19.02529412,5.074090909,10.83370833
Cod_9031,30/10/2013,19.41431373,4.341344538,10.82966667
Cod_9031,31/10/2013,17.69325581,3.472164179,10.45854167
Cod_9031,01/11/2013,16.95974359,5.11376,10.91104167
Cod_9031,02/11/2013,17.67990566,6.532790698,11.27283333
Cod_9031,03/11/2013,14.97606838,12.93861345,10.72729167
Cod_9031,04/11/2013,12.34891473,9.350197044,10.88330769
Cod_9031,05/11/2013,8.678660714,13.81035556,11.00875
Cod_9031,06/11/2013,7.657520661,8.211705069,11.21179167
Cod_9031,07/11/2013,8.048372093,7.624767442,10.832875
Cod_9031,08/11/2013,13.83027027,8.114108911,9.527
Cod_9031,09/11/2013,8.654710744,8.240655022,10.55266667
Cod_9031,10/11/2013,10.60532258,7.232076271,10.14466667
Cod_9031,11/11/2013,11.88084112,7.996897959,8.4305
Cod_9031,12/11/2013,13.16689655,8.698039216,9.03125
Cod_9031,13/11/2013,14.29890244,8.464705882,8.778125
Cod_9031,14/11/2013,11.5891,11.23630435,8.939875
Cod_9031,15/11/2013,12.77981308,13.6531441,10.17979167
Cod_9031,16/11/2013,18.06558559,18.01149123,9.309666667
Cod_9031,17/11/2013,16.58130841,17.41496269,8.962666667
Cod_9031,18/11/2013,12.44827273,15.68231939,9.5435625
Cod_9031,19/11/2013,13.22691589,9.551542056,9.4020625
Cod_9031,20/11/2013,12.04057851,14.89779167,10.07221429
Cod_9031,21/11/2013,17.09801587,13.80255725,11.89175
Cod_9031,22/11/2013,15.15267327,13.27772727,10.0885
Cod_9031,23/11/2013,14.75610526,11.31282609,8.351708333
Cod_9031,24/11/2013,12.99444444,6.570628571,8.207125
Cod_9031,25/11/2013,17.16728395,9.057528736,8.119458333
Cod_9031,26/11/2013,13.59636364,14.1379668,6.77475
Cod_9031,27/11/2013,16.42313953,10.10898396,7.065875
Cod_9031,28/11/2013,15.38892473,13.5259,6.9964375
Cod_9031,29/11/2013,13.98074074,14.45862661,6.71525
Cod_9031,30/11/2013,16.14071429,5.421920904,7.284083333
Cod_9031,01/12/2013,15.37909091,14.71220339,7.1625
Cod_9031,02/12/2013,12.32702128,14.93892704,6.972956522
Cod_9031,03/12/2013,9.9525,10.08365462,7.014636364
Cod_9032,28/06/2013,22.84237624,23.47217391,18.00541667
Cod_9032,29/06/2013,21.55189189,22.99444444,17.75595833
Cod_9032,30/06/2013,21.06319703,20.36179104,17.181125
Cod_9032,01/07/2013,21.29452899,19.6751087,17.49952174
Cod_9032,02/07/2013,21.14927536,19.60561798,17.601375
Cod_9032,03/07/2013,19.06519298,17.92114943,17.6055
Cod_9032,04/07/2013,21.14673759,19.2855914,17.61354167
Cod_9032,05/07/2013,22.04749175,19.90795918,18.11670833
Cod_9032,06/07/2013,22.59223333,22.37505376,17.94629167
Cod_9032,07/07/2013,20.16624549,17.6819802,18.917375
Cod_9032,08/07/2013,18.75552846,15.81204301,18.24345833
Cod_9032,09/07/2013,19.72654206,20.88862745,18.75079167
Cod_9032,10/07/2013,16.16781659,18.76242424,18.47729167
Cod_9032,11/07/2013,18.68099099,15.26592593,18.485375
Cod_9032,12/07/2013,18.46304147,17.01782051,18.19991667
Cod_9032,13/07/2013,18.27876652,17.2387013,18.600125
Cod_9032,14/07/2013,18.75166667,18.62795699,18.65954167
Cod_9032,15/07/2013,18.456121,19.21462366,18.71504167
Cod_9032,16/07/2013,18.44891892,17.90777778,18.68341667
Cod_9032,17/07/2013,17.90992647,18.58130841,18.85779167
Cod_9032,18/07/2013,17.70762238,18.17777778,18.307
Cod_9032,19/07/2013,18.69554545,17.96322581,17.47458333
Cod_9032,20/07/2013,19.88057143,20.08301887,18.14833333
Cod_9032,21/07/2013,19.29583012,19.4249505,18.92916667
Cod_9032,22/07/2013,19.42494208,18.99962264,19.55545833
Cod_9032,23/07/2013,19.81016129,19.48038095,19.7655
Cod_9032,24/07/2013,19.44008584,19.26666667,19.71008333
Cod_9032,25/07/2013,19.16142259,19.29111111,19.66241667
Cod_9032,26/07/2013,19.31306122,19.33137255,20.30129167
Cod_9032,27/07/2013,19.86966825,19.23,20.944625
Cod_9032,28/07/2013,19.57705426,19.24410256,21.01179167
Cod_9032,29/07/2013,19.82819788,19.58275862,20.99608333
Cod_9032,30/07/2013,19.84703125,19.67097345,21.10345833
Cod_9032,31/07/2013,19.87583333,19.59967213,20.79741667
Cod_9032,01/08/2013,19.945,19.6119685,20.241625
Cod_9032,02/08/2013,19.71888889,19.48551181,20.019375
Cod_9032,03/08/2013,20.23658291,19.65079365,19.80908333
Cod_9032,04/08/2013,20.62545455,19.60271845,19.42858333
Cod_9032,05/08/2013,20.79272727,19.61033898,19.45225
Cod_9032,06/08/2013,20.13104348,19.53295082,19.61879167
Cod_9032,07/08/2013,20.40007722,19.64661417,20.35405263
